2012-07-12 10:42:19+0800 [scrapy] INFO: Scrapy 0.14.4 started (bot: coreSpider)
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business_deposit.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business_lending.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business_cards.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business_insurance.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business_retirement.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=business_other.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside_about.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmcgi.exe 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside_investor.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside_press.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=inside_careers.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://www.cert.org/ 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htm#top 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=privacy.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=security.htmdefault.aspx?content=security.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://www.watchfire.com/statements/terms.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Crawled (200) <GET http://demo.testfire.net/survey_questions.aspx> (referer: http://demo.testfire.net/)
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Crawled (404) <GET http://demo.testfire.net/cgi.exe> (referer: http://demo.testfire.net/)
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxbank/login.aspx 
